-log10pvalue	-log10qvalue	rank	basepairs
389.70	383.46	1494	1
389.66	383.42	1495	10
389.65	383.41	1505	1
388.55	382.31	1506	1
388.48	382.24	1507	1
388.43	382.19	1508	2
388.13	381.89	1510	6
387.27	381.03	1516	1
387.08	380.84	1517	4
387.06	380.83	1521	1
386.88	380.65	1522	1
386.60	380.37	1523	5
385.59	379.36	1528	1
385.55	379.32	1529	2
385.46	379.23	1531	1
385.07	378.84	1532	3
384.29	378.06	1535	3
383.54	377.31	1538	4
383.27	377.04	1542	1
383.13	376.90	1543	1
382.90	376.67	1544	4
382.64	376.41	1548	1
382.53	376.30	1549	1
382.27	376.04	1550	1
382.23	376.00	1551	2
382.01	375.78	1553	3
381.64	375.42	1556	2
381.51	375.29	1558	1
381.03	374.81	1559	1
380.77	374.55	1560	3
380.24	374.02	1563	1
380.15	373.93	1564	5
380.12	373.90	1569	1
379.90	373.68	1570	4
379.69	373.47	1574	1
379.52	373.30	1575	1
379.37	373.15	1576	1
379.13	372.91	1577	1
378.96	372.74	1578	3
378.94	372.72	1581	2
378.73	372.51	1583	2
378.67	372.45	1585	4
378.42	372.20	1589	3
378.02	371.81	1592	3
377.77	371.56	1595	1
377.59	371.38	1596	2
377.46	371.25	1598	1
377.45	371.24	1599	2
377.43	371.22	1601	3
377.27	371.06	1604	1
377.18	370.97	1605	2
376.95	370.74	1607	7
376.52	370.31	1614	6
375.97	369.76	1620	2
375.96	369.75	1622	2
375.91	369.70	1624	2
375.74	369.53	1626	4
375.47	369.27	1630	2
375.02	368.82	1632	5
374.89	368.69	1637	1
374.80	368.60	1638	3
374.50	368.30	1641	4
374.49	368.29	1645	8
374.47	368.27	1653	2
373.52	367.32	1655	7
373.42	367.22	1662	1
373.01	366.81	1663	2
372.99	366.79	1665	4
372.89	366.70	1669	1
372.87	366.68	1670	1
372.82	366.63	1671	1
372.52	366.33	1672	1
372.04	365.85	1673	2
372.02	365.83	1675	4
371.53	365.34	1679	1
371.50	365.31	1680	2
371.42	365.23	1682	1
371.36	365.17	1683	2
371.35	365.16	1685	1
371.04	364.85	1686	1
370.85	364.66	1687	1
370.52	364.33	1688	3
370.20	364.01	1691	2
370.06	363.87	1693	2
369.83	363.64	1695	3
369.57	363.38	1698	2
369.32	363.13	1700	1
369.29	363.10	1701	2
369.03	362.84	1703	4
368.58	362.40	1707	2
368.31	362.13	1709	8
368.23	362.05	1717	1
368.10	361.92	1718	3
367.91	361.73	1721	1
367.53	361.35	1722	6
367.11	360.93	1728	3
366.99	360.81	1731	3
366.80	360.62	1734	3
366.63	360.45	1737	4
